Character,Text
Calanthe,"It will be done soon. You think I wanted to marry your father? I’ll have none of your waterworks here. You’re the daughter of the Lioness, behave like it!"
Pavetta,"Perhaps I should have some starving serfs brought in to slaughter, then. Or I could decapitate some elves and have their heads hung about as a lesson to those who would defy me."
Calanthe,"I will not have your hysteria turn this night upside down. Besides, that boorish lout is the key to Cintra holding power after I taste clay. He’s from good stock. You could do worse."
Pavetta,"I could do better!"
Calanthe,"You can have who you want when you’re married. You have your mother’s blood. You’ll be fine."
Eithne,"Where were you headed, Fiona, to end up so lost?"
Ciri,"I was running… from the war."
Eithne,"You… really don’t remember how you came to be in Brokilon Forest? Yet you heard it call to you. There were many forests like it… before the Conjunction of the Spheres. We adapted, fought off the mutants and men who sought our end. Now only we remain. Dryads."
Ciri,"Dara! I’m so glad you’re alive! is he going to be alright?"
dryad,"Bite down on this."
Eithne,"The waters of Brokilon are potent. All newcomers to the forest must drink the waters. If they bear ill intent towards Brokilon, they die. If they’re pure in heart, they survive and may stay here. And over time, the waters of Brokilon will lessen the suffering they have endured and make them forget. I think you’d like that. Am I right… Fiona? Because you’re scared of more than just war, aren’t you? You’ll both drink the waters, and all will be revealed."
Crach An Creite,"You lie, you little shite! You never faced so much as a bad meal in your life, never mind a manticore."
Lord Tinglant,"I’ve had manticores thrice as fat and ugly as you perish under my steel!"
Crach An Creite,"Under your bullshit, more like. How many stings has it got, then?"
Lord Tinglant,"Two."
Crach An Creite,"Hah! Go away and shite! It’s five. I know."
noble,"Your Majesty, that’s Geralt of Rivia."
Crach An Creite,"I’ve actually killed one."
Lord Tinglant,"You-"
Calanthe,"Enough! We have a renowned guest here tonight. Perhaps he can declare which esteemed lord is telling the truth."
Geralt,"Neither."
Crach An Creite,"Are you calling me a liar, old man?"
Lord Tinglant,"Aah. The Butcher of Blaviken bleats utter nonsense."
Geralt,"Perhaps the lords encountered… rare subspecies of manticore."
Lord Tinglant,"Aye."
Calanthe,"Perhaps our esteemed guest would like to entertain us with how he slayed the elves at the edge of the world?"
Geralt,"There was no slaying. I had my arse kicked by a ragged band of elves. I was about to have my throat cut when Filavandrel let me go."
Lord Tinglant,"But the song."
Jaskier,"Yeah, the song."
Geralt,"At least when Filavandrel’s blade kissed my throat, I didn’t shit myself. Which is all I can hope for you, good lords. At your final breath, a shitless death."
man,"Not going to shit meself…"
Geralt,"But I doubt it."
Eist,"It would have been your blade at Filavandrel’s throat had you been there, Your Majesty. Not that any elven bastards would crawl from their lair to meet you on the field."
Calanthe,"Any man willing to paint himself in the shadow of his failures will make for fare more interesting conversation this night. Come, Witcher. Take a seat by my side while I change."
Geralt,"Hm."
Dara,"Why did she call you Fiona?"
Ciri,"Mousesack, he… helped raise me and… he warned me not the let anyone know who I was outside the castle. And now, the Black Knight is after me."
Dara,"Castle?"
Ciri,"I’m Princess Cirilla of Cintra. What’s the matter?"
Dara,"Your grandmother slaughtered my family!"
Ciri,"No, that’s not true."
Dara,"She ordered it. After Filavandrel’s uprising-"
Ciri,"She wouldn’t do that."
Dara,"Her soldiers… they laughed then they did it. Killing, raping… They laughed the hardest when they were swinging babies from their legs, smashing their heads in. I was the only one left. Because I hid. I should’ve saved them. Or fought and died."
Ciri,"Uh… I don’t know what to say."
Dara,"Say nothing. They’re gone now. I would do anything to forget who I was."
Ciri,"I can’t. I have to find my destiny."
Dara,"Why? Because your grandmother said you should? Maybe you should start thinking for yourself. Because she is dead. And you are here."
Calanthe,"Damn this cursed thing. I’d as soon see this night out in armor."
Geralt,"As would I."
Calanthe,"Indeed. Tell me how does a witcher find himself at my daughter’s wedding feast dressed like a…?"
Geralt,"I’m protecting the bard from vengeful royal cuckolds."
Calanthe,"Hm! Idiots, the lot of them. Still, I’m glad of your company, which could prove handy. I have no doubt blood will spill here tonight."
Geralt,"Ah, save the good Queen’s breath. I’m not for hire as a bodyguard."
Calanthe,"You were hired just so by the bard."
Geralt,"I’m helping the idiot free of his coin."
Calanthe,"And he’s the idiot? I’m simply saying, surely if all goes to hell here tonight, I can count on you to strategically remove certain irritants that may present themselves? I’d do so myself, only I’m bound to uphold an artifice of decorum and… fairness."
Geralt,"Hey. I can’t help you."
Calanthe,"So perilously direct. As Queen, I could command it."
Geralt,"If I were one of you subjects."
Calanthe,"I could torture you so very slowly into compliance."
Geralt,"Her Majesty will do as she wishes. I’m not for turning."
Calanthe,"Oh, come now. Everyone has their price."
herald,"Lord Peregrine of Nilfgaard."
man,"Good chance, Peregrine, ahh!"
man 2,"Go on, Lord Peregrine!"
Calanthe,"Make another sound, Draig Bon-Dhu, and I’ll have your guts sewn into pips and sent to your mother."
Lord Peregrine,"Queen Calanthe, my marriage to your daughter will unite the jewels of the north and south, forging an unbreakable alliance that none would dare cross. And I’m one of five brothers with no sisters. My potent seed inside Pavetta will produce the strongest of male heirs."
Calanthe,"Cintra is indeed the jewel of the north, yet Nilfgaard is the shit rag of the south, and that’s saying something! Tell me, is it true you drink piss water and feast on your own young? Nildfgaardian kings don’t remain kings for long. Who will take the Usurper’s crown? You? How long will you last? A year? A month? A day?"
herald,"Lord Steergart of Kaedwen."
Queen Kalis,"I know what they say, “Poor Queen Klais, another girl.” I mean, I’m just a womb to him. No more than a fleshy contraption for squeezing out heirs. Bastard cares more about his hounds than he does about me. Take her. Shh. Why don’t you stay in Lyria? Keep me company."
Yennefer,"As soon as I’ve delivered Your Majesty safely back to court, I’m afraid I must return to Aedirn."
Queen Kalis,"I envy you. Truly. A king’s mage. How splendid! Oh. Oh, come, now. We’ve been travelling together for days. Speak freely."
Yennefer,"I love… that I traded everything to get my seat at court. I love that I believed that it would all be worth it, that this would be my legacy. The greatest mage to have ever graced a court. And I really, really love… that instead, I’ve gotten to spend the last… three decades cleaning up stupid political messes. Glorified royal arse wiper."
Queen Kalis,"I have it far worse. People look at you for who you are, not for that you can give them. You made the right choice, giving all that nonsense up. To this baby, I am the whole world. If only it weren’t so boring."
Yennefer,"Run! Go! Run!"
Queen Kalis,"I’ll have that brigand’s head on a pike outside the King’s castle before nightfall. How dare he?"
Yennefer,"That was an assassin, not a brigand."
Queen Kalis,"What are you saying?"
Yennefer,"He was paid to kill you."
Queen Kalis,"What? Why?"
Yennefer,"It appears you’ve run out of chances to provide your King a male heir."
Queen Kalis,"No, he wouldn’t. Oh, that prick!"
Yennefer,"Go! Go! We’re being tracked! Think! What did the King give you that could be traced? Come on! I can’t hold it. Hurry! They’re still tracking us."
Queen Kalis,"Get you, you useless witch. How could you not foresee this? You were supposed to protect me. Oh, you horrible, useless bitch!"
Jaskier,"Oh, fishmonger, oh fishmonger / Come quell your daughter’s hunger / To pull on my horn / As it rises in the morn / For ‘tis naught but bad luck / To fuck with a puck / Lets your grandkid be born / A hairy young faun / Bleating and braying all day, hey ho / The fishmonger’s daughter, ba ,ba"
Calanthe,"How much more of this peacocking must I endure? This… All this because male tradition demands it. If I were a man, I could simply tell the whole lot of them to fuck off, declare outright who Pavetta should marry and have done with it. Or, better yet, let the poor girl decide her own fate."
Geralt,"Something tells me this isn’t the fist time you’ve navigated the vagaries of male tradition. In fact, I’d wager you thrive on it."
Calanthe,"Spoken as one who has navigated his own share of fools."
Geralt,"Hm."
Calanthe,"Tell me, Witcher, why are there so few of you left?"
Geralt,"Hm. It is no longer possible to create more of us, since the sacking of Kear Morhen. Tell me, Your Majesty… why do you risk your life on the battlefield when you can rest on your throne?"
Calanthe,"Because there is a simplicity in killing monster, is there not? Seems we are quite the pair, Geralt of Rivia."
Geralt,"Hmm."
Eist,"Crach! It’s time. Get your hairy ass up here."
Urcheon,"Forgive my late intrusion, Your Majesty, and for the misunderstanding with your guards. Please! I come in peace. I need but one moment of your time. I am Lord Urcheon of Erlenwald and I have come to claim your daughter’s hand in marriage."
Calanthe,"A knight… of no renown… from a backwater hamlet… who dares to enter my court without revealing his face?"
Urcheon,"I apologize, Your Majesty. A knight’s oath prevents me from revealing my face until the sounding of the twelfth bell."
Eist,"Bollocks to that."
Calanthe,"Witcher, kill it."
Geralt,"No."
Calanthe,"Whatever the price."
Geralt,"This is no monster."
Calanthe,"I order you."
Geralt,"This knight has been cursed."
Calanthe,"You’re as useless as the rest of them. Slay this beast!"
Urcheon,"Lioness of Cintra, I come to claim what is rightfully mine! Pavetta. By the Law of Surprise."
Pavetta,"No!"
Calanthe,"Kill them both!"
Eist,"The Law or Surprise has been called. You kill them… kill me."
guard,"My Queen…"
Calanthe,"Stop! Stop!"
Queen Kalis,"Please. I can give him a boy. Take her instead. As a sacrifice."
Pavetta,"Duny. I told you to stay away."
Urcheon,"Your Majesty… the witcher speaks the truth. I was cursed as a young boy. My while life a living misery until the day that I saved your husband, King Roegner, from certain death. By tradition, I chose the law of Surprise as payment. Whatever windfall he came home to find… would be mine."
Calanthe,"Oh, the stupid bastard. Better you had let him die!"
Geralt,"You knew he’d come, and you pushed me to kill him."
Calanthe,"And you… carousing with the beast that swindled your stupid father!"
Eist,"‘Tis no swindle. Asking for payment with the Law of Surprise is as old as mankind itself."
Calanthe,"Don’t lecture me, Eist."
Eist,"It’s an honest gamble. As likely to be rewarded with a bumper crop as a newborn pup. Or… a child of surprise. He could not know. Destiny has determined the surprise be Pavetta."
Urcheon,"When I head that King Roegner had returned to find a child on the way… I abandoned all thought of claiming the Law of Surprise. I knew…. I knew no woman would ever accept me like this. And so I waited. I waited until the twelfth bell when the curse breaks. I never intended to meet her. Just to watch from afar."
Pavetta,"Until destiny intervened… and our hearts collided."
Urcheon,"And at dawn, I awoke with her in my arms and me… like this."
Eist,"Who are we to challenge destiny? Life was saved, debt must be paid, or the whole order of the world falls apart."
Mousesack,"Honor destiny’s wish, or unleash its wrath upon us."
Calanthe,"There is no us. I bow to no law made by men who never bore a child! Is there not a man amongst you who does not cower before destiny? You, Witcher… who has known monsters of every fang and claw… are you afraid too?"
Geralt,"No. I’ve seen mothers lash themselves raw over the death of a child, believing they crossed destiny, ignoring the stench of the 50 other children in the plague cart outside. Destiny… helps people believe there’s an order to this horseshit. There isn’t. But a promise made must be honoured. As true for a commoner… as it is for a queen."
Pavetta,"I love Duny, Mother. I will marry him. I will finally be free."
Calanthe,"Here is your destiny."
Pavetta,"NO!"
Eist,"My Queen, are you hurt?"
Eist,"Do you believe in destiny now?"
Calanthe,"I thought your grandmother’s gift had skipped you… as it did me. It seems I was wrong. About so many things. Destiny has spoken! And I have listened. The Law of Surprise will be honored. Pavetta will marry… Lord Urcheon."
Eist,"React poorly and you won’t just face the Lioness, you will be facing the sea hounds of Skellige. Because Queen Calanthe has… agreed to my proposal of marriage."
Calanthe,"There will be two vows here tonight! I assume that’s agreeable. Delightful."
Pavetta,"NO!"
Ciri,"Dara? Dara?"
Dara,"I drank the waters. It’s gonna be okay."
Ciri,"What’s going to be okay?"
Dara,"Everything."
Eithne,"Leave your past behind. Join us. Drink and forget."
Ciri,"Why isn’t it working?"
Eithne,"Come. Shan-Kayan calls to you."
Yennefer,"Which one of us are you here for? I’m sorry you didn’t have a life. But if truth be told you’re not missing much. I know it’s easy for me to say with warm breath in my lungs, and you with nothing. Still… what would you have had? Parents? Well, they’re the ones who wrote your last act, so not much lost there. Friends? Most likely fair weather. Lovers? Fun for a bit, I’ll admit, but all eventually disappoint. And let’s face it, you’re a girl. Your mother was right about one thing. We’re just vessels. And even when we’re told we’re special, as I was, as you would have been, we’re still just vessels… for them to take… and take… until we’re empty… and alone. So, count yourself lucky. You’ve cheated the game and won without even knowing it. Sleep well."
Calanthe,"Pavetta. Duny. With my blessing… I thee bind."
Pavetta,"The twelfth bell has not yet rung."
Calanthe,"What has happened?"
Mousesack,"I think your blessing of this marriage… has fulfilled a destiny. The curse has been lifted."
Jaskier,"Whew! I think this has the makings of my greatest ballad yet."
Geralt,"If you’re alive in the morning. Don’t… grope for trout in any peculiar rivers until dawn."
Urcheon,"No, Wait! Wait. You saved my life. I must repay you."
Geralt,"You’re proven yourself to be the kind of man who would do the same. I want nothing."
Urcheon,"No, please. Please, Geralt of Rivia, do not feel like you’re doing me a service. I cannot start a new life in the shadow of a life dept."
Geralt,"Fine. I… claim the tradition as you have, the Law of Surprise. Give me that which you already have but do not know."
Calanthe,"No! What have you done, Witcher?"
Geralt,"Fear not, Your Majesty, if I’m seen in your kingdom again, it’ll be to kill a real monster, not lay claim to a crop or a new pup. Destiny can go fu-"
Carlanthe,"Pavetta? Are you…? Oh…"
Geralt,"Fuck."
Mousesack,"Clearly the girl has access to immense primal power."
Geralt,"Yeah, and with no idea how to control it."
Mousesack,"I’m gonna stay. Guide her."
Geralt,"You’re a good man, Mousesack."
Mousesack,"You should stay too."
Geralt,"This has been enough partying for me. I’m getting out of here. Alone."
Mousesack,"You’re bound to this now, Geralt. Whether you like it or not."
Geralt,"I’m not for changing. You know me better than that."
Mousesack,"Yes, I do, but you can’t outrun destiny just because you’re terrified of it. It’s coming Geralt. Not believing won’t change that."
Geralt,"Bullshit. This was just a girl using her magic to stop her mother from gutting her lover. Nothing more."
Mousesack,"So you say. But the bon that will come into being between you and this child… when it is borne, will be extraordinary. If you dismiss it, leave without claiming this… child surprise, you will surely unleash true calamity upon us all."
Geralt,"I’ll take that chance. Mind yourself. True words are rare birds in courts like this. Watch for daggers in your back. Or, more likely, poison. Be careful, old friend."
mage,"Queen Calanthe.Mistress, I’ve found her!"
Cahir,"Is it working?"
Fringilla,"Calanthe’s progeny is in Brokilon Forest."
Field Marshall,"We can spare ten thousand men to take it, sir. Maybe 12."
Cahir,"Shut up! Armies are not the way into Brokilon Forest. Damn it."
soldier,"Come on, get moving!"
Eithne,"You must drink from the source."
voice,"What are you, child?"
