Character,Text
Calanthe,"As your Queen, I grant you this commendation, which will symbolize your duty and bond…"
Stregobor,"Destiny has many faces, Witcher. Mine, for example, is beautiful on the outside, but hideous on the inside. She has stretched her bloody talons towards me."
Geralt,"Wizards are all the same. You talk nonsense while making wise and meaningful faces. Speak normally."
Stregobor,"Have you ever heard of the Curse of the Black Sun? First full eclipse in 1200 years. It marked the imminent return of Lilit, demon goddess of the night sent to exterminate the human race. According to the wise mage Eltibald, Lilit’s path was to be prepared by 60 women wearing gold crowns who’d fill the river valleys with blood."
Geralt,"Hm. Doesn’t rhyme. All good predictions rhyme."
Stregobor,"I studied the girls born around the Black Sun and I found horrendous internal mutations among them. I tried to cure them, locked them in towers for safekeeping, but the girls always died."
Geralt,"Internal mutations?"
Stregobor,"They were autopsied, of course, to confirm my suspicions. But eliminating these women was the lesser evil. They could have drowned entire kingdoms in blood. If you’d been alive during Falka’s Rebellion, see what I saw-"
Geralt,"Innocent women are dead. Hm. She’s after you."
Stregobor,"Daughter of King Fredefalk of Creyden. I delivered the princess myself in the middle of the afternoon in pitch black."
Geralt,"Under the Black Sun, so she’s cursed."
Stregobor,"Do you consider me a fool, Witcher? Do you think I did not conduct research? Renfri was acutely affected. Her stepmother, Aridea, told me she tortured a canary, strangled two puppies, even gouged out her maid’s eyes with a comb. I admit what happened next was not ideal, but with the lives of Aridea’s own children on the line, we had to act. So I dispatched someone to follow Renfri into the woods. We found him in the brush, Renfri’s antique brooch jammed into his ear. After that, I organized a manhunt to find the princess, but she was gone. Two years. Until she reappeared, robbing and murdering merchants on the roads of Mahakam. Impaled them on sticks at first, but soon, she picked up sword skills. And now no man can defy her, it’s said."
Geralt,"You’re not a man. You’re a magician."
Stregobor,"She’s resistant to magic."
Geralt,"That’s impossible in humans."
Stregobor,"Not mutated ones. She’s chased me for years bent on revenge. And now she’s tracked me here, just as you arrived. Destiny. Kill her. I’ll pay you anything."
Geralt,"I kill monsters."
Stregobor,"The kikimora kills because it’s hungry, Renfri kills for pleasure. She is a monster. She is the last of Lilit’s women. And she possesses the power to destroy us all."
Geralt,"I don’t believe anyone has that power."
Stregobor,"With the fate of the Continent at stake, is that a chance you’re willing to take? There’s your rhyme. Killing Renfri is the lesser evil."
Geralt,"Evil is evil, Stregobor. Lesser, greater, middling… it’s all the same. I’m not judging you. I haven’t only done good in my life either. But now, if I have to chose between one evil and another, then I prefer not to choose at all."
Eist,"These shindigs need a touch of the old abracadabra."
Mousesack,"At your service, Your Majesty. Ticks and illusions to delight."
Calanthe,"He means to pull a disappearing act. Don’t you?"
Eist,"No. I saw the Wraiths of Mörhogg over the channel this morning."
Calanthe,"Yes, you mentioned."
Ciri,"Who?"
Eist,"No good will come of it. They’re an omen of war."
Calanthe,"The North has been at war since Nilfgaard took Ebbing. If legend is true, the Wild Hunt’s years behind the curve."
Eist,"The Nilfgaardian force crossed the Amell Pass."
Calanthe,"Headed to Sodden, if they’re smart. And if not, 50 of your Skelligen ships are on the way. We have more knights. We are prepared in case-"
Ciri,"Prepared for what?"
Calanthe,"Nothing for you to be concerned about."
Ciri,"Your dismissive tone says it is."
Eist,"We’re talking of war, girl."
Ciri,"With Nilfgaard? Why?"
Calanthe,"Eist!"
Eist,"Should we fall to Nilfgaard, your granddaughter will rule. She needs to understand the way of things."
Calanthe,"We will not fall, because we are not under attack! She’s a child."
Ciri,"You won your first battle in Hochebuz when you were my age. I’ve heard the ballad."
Eist,"Pretty ballads hide the bastard truths."
Ciri,"It’s a catchy song."
Calanthe,"Three thousand of my men died. If we must do this now, here is your first lesson. As in life, it is impossible always to be fully prepared for battle. Keep your sword close and keep moving."
Lord Marbury,"Your Majesty… Your Majesty. Thank you for allowing our company at this splendid affair."
Martin,"Your Majesties. Your Highness. Would you honor me with a dance?"
Ciri,"Uh… Martin-"
Calanthe,"She’d love to."
Eist,"Reminds me of your daughter’s betrothal feast. The night you finally saw sense, said yes. Made me the happiest man on the Continent."
Calanthe,"I did it to save my kingdom. And, no, you may not leave this shindig."
Sir Danek,"Your Majesty, my scouts have returned. Nilfgaard is on its way to Cintra."
Calanthe,"I stand corrected. They’re here. They’re already here."
Eist,"So much for being smart. You should tell the girl."
Calanthe,"Let her enjoy this night in peace. It may be her last for a while."
Renfri,"The girl this morning, she took you to see Stregobor, didn’t she?"
Geralt,"I know who you are."
Renfri,"You know that I want to kill Stregobor then. I used to be a princess. Did he tell you that? Until he sent a thug into the woods to kill me."
Geralt,"You killed him."
Renfri,"With my mother’s brooch. Stregobor’s man raped me, robbed me and let me go. No more princess. I had to survive. I stole rather than starve. I killed rather than be killed. Nohorn and the others saved me. And they’ll be by my side at the market as I get my revenge. Lilit help me, I will take down anyone in my way. Unless destiny intervenes."
Geralt,"You want me to kill Stregobor for you."
Renfri,"It’s the lesser evil."
Geralt,"So I keep getting told."
Renfri,"Stregobor asked you to kill me too. ‘Cause I was a girl born during an eclipse? I could’ve become so many things. Queen Calanthe of Cintra, she just won her first battle at Hochebuz. But here I am trying to convince you I’m not-"
Geralt,"A monster. Are you?"
Renfri,"How am I to know? When I cut my finger, I bleed. That’s human, right? When I overeat, my stomach aches. When I’m happy, I laugh. When I’m upset, I swear. And when I hate someone for stealing my whole life from me, I kill him."
Geralt,"Hm."
Renfri,"People call you a monster too."
Geralt,"A mutant."
Renfri,"What if they come after you? Attack you?"
Geralt,"They have."
Renfri,"Why not kill them?"
Geralt,"Because then I am what they say I am."
Renfri,"If I tell you, Witcher, that I can neither forgive Stregobor nor renounce my revenge, is that it? I admit I’m a monster?"
Geralt,"Yes. Or you can leave Blaviken and finally live. You choose, Princess."
soldier,"Keep it steady! Steady! Stand by! Hold…"
Calanthe,"Charge!"
Ciri,"Not fair that I’m trapped here."
Mousesack,"I could magically put you to sleep, Princess. Just an idea."
Ciri,"It’s been two days."
Mousesack,"For you and everyone else in the castle. The King and Queen ordered us to remain here, and that’s what we shall do."
Ciri,"And why are you not there? Wherever they are."
Lazlo,"My duty is t protect you."
Ciri,"You’re resentful of that burden."
Lazlo,"It’s the greatest honor of my life."
Ciri,"You’re both incredibly boring."
Mousesack,"Many, many years ago, sorcerers were known to lock little girls in towers. I’m beginning to understand why."
Ciri,"You know cautionary tales don’t work on me."
Mousesack,"The girls were said to be cursed. They were said to announce the end of the human race."
Ciri,"Ooh."
Mousesack,"So they were systematically killed. The end."
Ciri,"Will my grandmother be all right?"
Mousesack,"You will be all right, Princess. You are her blood. And the apple never falls far from the tree."
Eist,"We’re losing!"
Calanthe,"The ships from Skellige?"
Sir Danek,"There’s been a storm, Your Majesty. No one’s coming!"
Calanthe,"Then we fight alone. We cannot surrender Cintra!"
Eist,"Nor will we!"
Calanthe,"Eist. Move! No!"
woman,"Guide us to the safety of your arms, hold us in your light, protect us from the imperial darkness that threatens our souls. Princess Cirilla."
Martin,"Are we going to be okay?"
Lady Marbury,"Don’t worry, Martin. The Queen will defeat Nilfgaard. We will go home soon. Your Highness."
Sir Danek,"…won’t stop until they get what they want!"
Calanthe,"…a hundred arrows on my body first!"
Sir Danek,"Your Majesty, what must…"
Calanthe,"My sweet child. Careful. Careful. Cintra is under attack, Eist is dead. Nilfgaard have made their way into the city."
Ciri,"Why?"
Calanthe,"The citizens, how many of them are safe within our walls?"
Sir Danek,"A hundred or so, Your Majesty. The guests from the banquet."
Calanthe,"The supplies… check we have enough."
Sir Danek,"Aye."
Calanthe,"You’ve been brave, my child, while I’ve been gone?"
Ciri,"I haven’t. Ask Mousesack. I’ve been impatient."
Calanthe,"You will rule this land someday. You know that, don’t you?"
Ciri,"Why are you saying all this? Are you dying?"
Calanthe,"My sweet child, when I go, it will be far more dramatic than this. Now, child, let me rest."
Mousesack,"They’ve reached the gate."
Ciri,"What are you doing? How long will it hold?"
Mousesack,"As long as I hold."
Geralt,"You know what Vesemir would say? “Witcher shouldn’t play at being white knights. We shouldn’t try and uphold the law. We don’t show off. We get paid in coin.” And he’s right. Hm. Want to hear about my first monster? Wasn’t fifty miles outside of Kaer Morhen. He was huge. Stinking. Bald head. Rotten teeth. He pulled that girl from the cart, tore her dress off in front of her father and said, “It’s time you met a real man.” I told him it was time he met one too. It took two strikes to kill him. They weren’t clean. But they were spectacular. I turned to that girl afterwards. She was drenched in the man’s blood. She took one look at me, screamed, vomited, and passed out. Yeah. I thought the world needed me too."
Renfri,"Who were you talking to?"
Geralt,"I talk to my horse."
Renfri,"That’s sad."
Geralt,"Is it?"
Renfri,"Tell me, Witcher. You don’t believe in destiny or the lesser evil. What do you believe in?"
Geralt,"You mean, who do I believe. I don’t pick sides."
Renfri,"You just kill monsters. I’ve made my decision. You gave me an ultimatum and I find they work. Tomorrow, I’ll leave Blaviken. For good. My men, they love me and I love them. But it’s been a long time since someone saw me. When I was a girl, my mother used to run her fingers over my forehead. She’d say she’d give a lovely lintar to know the thoughts going around in there."
Sir Danek,"Your Majesty, the Nilfgaardians will breach the castle gates."
Mousesack,"Have breached. My powers could not hold them any longer, Your Majesty."
Ciri,"Now what? What do we do?"
Calanthe,"Mousesack. He’s in the gatekeep."
Mousesack,"Destiny may yet side with us."
Calanthe,"Danek. It’s time."
Sir Danek,"Aye."
Ciri,"Wait, where are you going?"
Calanthe,"Come here, child. Lesson number two. Know when it’s time to stop moving."
Ciri,"You’re conceding."
Calanthe,"Nilfgaard takes no prisoners. Which means that right now, my citizens are being tortured. Their insides are being pulled to their outsides while they watch. Their legs lit on fire. Their tongues fed to the dogs."
Mousesack,"Your Majesty. He’s gone."
Calanthe,"What? In the face of the inevitable, Cirilla, good leaders should always choose mercy. In the future, you will be wise to do the same. Lazlo, bring her cloak."
Ciri,"What? No."
Calanthe,"Continue to be brave. Promise me. You are the Lion Cub of Cintra. You are destined for great things."
Ciri,"I can’t do this without you."
Lazlo,"We must go, Your Highness."
Ciri,"No!"
Calanthe,"Go. The world depends on it."
Ciri,"I love you."
Calanthe,"Find Geralt of Rivia. He is your destiny. "
Mousesack,"Your Majesty."
Calanthe,"I saw it too. It is why they came."
Mousesack,"I will deliver her. I give you my word."
Calanthe,"Mousesack. Your service has been an honor to us all."
Mousesack,"As has yours. Your Majesty."
Sir Danek,"I’m sorry to disturb, my lady. It is time. Nilfgaard is nigh. It is time."
Lady Marbury,"We can leave. We can find a way out."
Lord Marbury,"This… This I our way out."
Martin,"What are you doing?"
Lady Marbury,"It’s me, my son."
Martin,"What is this?"
Lady Marbury,"It’s okay."
Mousesack,"Horses. Princess, come."
Nilfgaardian soldier,"Hey!"
Mousesack,"Keep going."
Ciri,"No!"
Mousesack,"Princess, I gave your grandmother my word. Allow me to keep it. Go."
Ciri,"My grandmother said I had to leave. Why? Why is Nilfgaard here? Why does the world depend on it?"
Lazlo,"Hold on, Your Highness. Hyah! We’re getting close to the gate."
Ciri,"I’ve been protected my whole life, Lazlo. Why? "
Renfri,"You’re in the market. Covered in blood. You say you can’t choose, but you had to. And you’ll never know if you were right. Geralt… Your reward will be a stoning. And you will run. You will try to outrun the girl in the woods, but you cannot. She is your destiny."
Geralt,"Renfri. The market."
Nohorn,"She knew you’d come."
Geralt,"Where is Renfri?"
Nohorn,"She’s at the tower with your little friend, Marilka."
mercenary 1,"She gave us a message to pass on to you. You have to choose the lesser evil."
mercenary 2,"It’s an ultimatum. Get it?"
Geralt,"Fuck."
Marilka,"Geralt! Geralt! No."
Renfri,"You chose."
Geralt,"Let the girl go."
Renfri,"I will kill her. I will kill everyone here until Stregobor comes down."
Geralt,"Leave Blaviken. It’s not to late."
Renfri,"Magic doesn’t work on me. Silver does though."
Geralt,"Silver is for monsters. If we cross swords…"
Renfri,"I won’t be able to stop. They created me just as they created you. We’re not so different. The girl in the woods will be with you always. She is your destiny."
Cahir,"Get- get back here, you little- No. No!"
Stregobor,"Incredible. Marilka. Marilka? Marilka! Get me a cart. We’ll take her to the tower for an autopsy."
Geralt,"If you touch a single hair on her head yours will be on the ground next."
Stregobor,"Have you gone mad? Her mutation, it influences people. That’s how she got these men to follow her. We need to take it. She got to you too, didn’t she?"
Geralt,"Do not touch her."
Stregobor,"Witcher. You butchered bodies in the streets of Blaviken."
Inkeeper,"You’re a beast."
Isadora,"You endangered the girl."
woman in the crowd,"Beast!"
man in the crowd,"He’s killed every single…"
Stregobor,"You took the law into your own hands."
woman in the crowd,"Bastard!"
woman in the crowd,"He’s a bad one!"
man in the crowd,"Get out of here!"
man in the crowd,"Get out and don’t come back!"
woman in the crowd,"Go on! Butcher!"
Stregobor,"You made a choice. And you’ll never know if it was the right one."
woman in the crowd,"Die, Witcher!"
woman in the crowd,"Go, Witcher! Die!"
Marilka,"Get out of Blaviken, Geralt. Don’t ever come back."
woman in the crowd,"Bastard!"
Renfri,"The girl in the woods will be with you always. She is your destiny."
