Character,Text
Sabrina,"Your hand…"
Tissaia,"This is the balance. Demonstrated beautifully. Thank you, Fringilla. There is no conjuring something from nothing. There is a give and a take."
Tissaia,"You’ve lost a lot of blood, piglet."
Tissaia,"Sometimes a flower is just a flower. And the best thing it can do for us is to die."
Yennefer,"Istredd. You were right. She found me."
Istredd,"And you found me."
Yennefer,"My name. It’s Yennefer."
Istredd,"It’s good to meet you properly… Yennefer."
woman,"Hey, no cutting."
Ciri,"Don’t touch me. This food was provided by the queen."
woman,"May she rot in hell."
Adon,"Your cloak… My father made it. Ziven Ozol. He clothes Cintra’s finest. You look like you’ve been through hell. Like all of us. They’re elf ears. I killed them all. Doing my part to avenge human lives lost in Filavandrel’s uprising."
Ciri,"Filavandrel?"
Adon,"The elves call him “King”. Last year, he tried to claim Cintran land. My brother got an arrow in the brain. Every day I make sure his death’s not in vain. Come. Meet my family. Come. Mother, I brought someone to join us. This is…"
Ciri,"Fiona."
Lilja,"Look at you in your little cloak."
Adon,"Our father just died."
Lilja,"Fighting to defend that wretched bitch and her wretched family."
Adon,"Mother, stop. It wasn’t Queen Calanthe’s fault. Nilfgaard only got past Cintran borders because of elven spies."
Zeke,"Technically, it was the elves’ land first."
Adon,"Our brother died for that land."
Lilja,"And your father died for Calanthe’s selfishness. One conflict after another. Robbing us of our homes, our men, and our lives. When will it stop?"
Adon,"When I’m a knight. I’ll have enough coin to rebuild our house."
Ciri,"You’re to be a knight?"
Adon,"I have to apprentice, but I’ll be ready when Cintra rises again."
Lilja,"To order and dignity. Oh, child. Your shoes. Let’s get you a fresh pair, why don’t we?"
Ciri,"That’d be wonderful. Thank you."
Lilja,"Abbott. Don’t worry. He’s one of the clean ones."
Jaskier,"Reading between the lines and the gut punches, chum, I’d say you have got a bit of a… an image problem. Were I to join you on this… feat to defeat the devil of Posada, I could relieve you of that title. All the North would be too busy singing the tales of… Geralt of Rivia, the- the white Wolf or- or something."
Geralt,"Butcher is right."
Jaskier,"Mind if I hop up? It’s just that, I’m not really wearing the right kind of footwear."
Geralt,"Don’t touch Roach."
Jaskier,"Yeah, right, yeah. The elves called this Dol Blathanna before bequeathing it the humans and retreating into their golden palaces in the mountains. There I go again, just… delivering exposition. Geralt? Geralt? Wh- Where are you going? Geralt, don’t leave me. Hello? What are we looking for again?"
Geralt,"Blessed silence."
Jaskier,"Yeah, I don’t really go in for that. Have you ever hunted a devil before? Have you, uh, have you ever hunted a devil before, Geralt?"
Geralt,"Devils don’t exist."
Jaskier,"Right. Obviously. Then, uh… then what are we doing?"
Geralt,"Sometimes there’s monster, sometimes there’s money. Rarely both. That’s the life. Shit!"
Jaskier,"Act Two begins! What was that? Looks like a tiny cannonball from a… Oh, my gosh. Geralt… it is a devil. Ooh. I have to see this magical, this mythi-"
Torque,"Leave me be!"
Geralt,"You talk."
Torque,"Of course I talk!"
Geralt,"What happened with you? Your mother fuck a goat?"
Torque,"I am Torque the Sylvan, a rare and intelligent creature!"
Geralt,"You’re a dick. With balls."
Torque,"Balls I got from humans, who left out food filled with iron meant to poison me!"
Geralt,"Ow!"
Torque,"Did your mother fuck a snowman?"
Geralt,"You are intelligent, I’ll give you that. So I won’t kill you, but you can’t stay here."
Torque,"Neither can you."
Tissaia,"Look into her eyes. Look until a door becomes a window. Seek to understand your partner’s greatest fears."
Yennefer,"With our eyes?"
Tissaia,"No, piglet. With chaos. Thought transference should flow through you, like learning to dance or swim or kiss."
Anica,"Come on, you can do it."
Yennefer,"Anica’s worst fear is snakes."
Tissaia,"Come here. You take weeks to lift your stone. You can’t bend water. You struggle to perform the simplest physical tasks. And now you lie to me? Your worst fear makes such sense. Even if you were a beauty, still, no one would love you."
Yennefer,"Tissaia’s right. I’ve been here for weeks and can barely do shit."
Istredd,"See, my thought transference trial at Ban Ard took… three days. Boy I was paired with had a phobia of cheese."
Yennefer,"I want to be good. Good at something."
Istredd,"You’ll get there. I didn’t give up. Now I can read minds."
Yennefer,"Great. Is that what you’re doing?"
Istredd,"You can read me, if you like."
Yennefer,"I don’t think it’s working."
Istredd,"You can see. You can see. Just… Just look past."
Yennefer,"I see them. What are they?"
Istredd,"Moon jellyfish."
Yennefer,"I… I can hear them."
Istredd,"Cicadas in summer."
Yennefer,"I can taste it."
Istredd,"It’s warm bread."
Yennefer,"Are these the things you love?"
Istredd,"These are the things I thought you would love."
Lilja,"So tired. But I can’t sleep, either. You’re still scared, aren’t you? Well, you’re safe now. I’ve got you."
Ciri,"I’m looking for… for Geralt of Rivia. Do you know him?"
Lilja,"Afraid I don’t. He’s a knight?"
Ciri,"I don’t know."
Lilja,"What about your mother or your father?"
Ciri,"My parents died when I was a baby. My grandmother took care of me."
Lilja,"Where is she?"
Ciri,"She, um… died. In the Nilfgaard attack."
Lilja,"Oh. I’m so sorry."
Ciri,"I’m sorry too. For your family."
Lilja,"We’ll get through this together. We take care of our own."
Tissaia,"Get up."
Tissaia,"Welcome, Fringilla. Welcome, Lark. Welcome, Doralis. Welcome, Sabrina. And welcome back, piglet. Tor Lara, the Tower of the Gull. The most potent place on the continent. Off-limits, except for the Brotherhood of Sorcerers."
Yennefer,"Why?"
Tissaia,"This trial tests your ability to control the ultimate expression of chaos. Catch lightning in a bottle."
Anica,"That’s impossible."
Tissaia,"No, it’s magic. Doralis. Bottle up. Now."
Fringilla,"She’s still breathing."
Tissaia,"lark, move Doralis aside. Anica, your turn next. Quickly."
Yennefer,"You can do this."
Tissaia,"Quickly."
Anica,"I did it."
Tissaia,"Piglet, your turn. Faster. Sabrina, sow these girls how it’s done. The strong amongst the weak. What you did there was pathetic and dangerous."
Yennefer,"Felt pretty powerful to me."
Tissaia,"There are mages like Sabrina who ignore their emotions. And then there are mages like us who are consumed by them."
Yennfer,"Like us?"
Tissaia,"Your first night here at Aretuza, you tried to kill yourself. And tonight, you almost killed someone else. It is your job to control chaos, not become it."
Yennefer,"I can."
Tissaia,"But if I send you to advise a king, and your precious little feelings get hurt when he won’t listen, and you submit to chaos, he dies, his people turn on us. Whose fault would that be?"
Yennefer,"Mine."
Tissaia,"No. Mine for letting you ascend."
Yennefer,"I understand."
Tissaia,"Do you? You lie. You keep secrets. You succumb to emotions, to weakness. Do you actually have what it takes?"
Jaskier,"This is the part where we escape."
Geralt,"This is the part where they kill us."
Jaskier,"Who’s they?"
Toruviel,"Beast!"
Geralt,"Elves."
Jaskier,"Oi, that’s my lute. Give that back. Quick, Geralt. Do your- your witchering-"
Geralt,"Shut up!"
Jaskier,"No."
Toruviel,"You shut up!"
Jaskier,"my Elder speech is rough. I only got part of that."
Toruviel,"Humans, shut up."
Jaskier,"Ah, got it, thanks so much."
Toruviel,"Do you wanna die right now?"
Geralt,"As opposed to later?"
Jaskier,"No, please, not the lu-"
Geralt,"Leave off! He’s just a bard."
Toruviel,"You don’t deserve the air your breathe. Everything you touch, you destroy."
Jaskier,"You hide in your golden palaces. You beat a bound man, too scared to even look him in the eye!"
Toruviel,"Do you like my place? Hmm? Does it live up to the tales you humans tell?"
Jaskier,"Yeah, take that, pointy. Wait, what’s- what’s wrong with her?"
Filavandrel,"She’s sick."
Jaskier,"Oh, and who’s this?"
Torque,"He’s Filavandrel, King of the Elves."
Filavandrel,"Not a king. Not by choice."
Geralt,"You were stealing for them."
Torque,"I felt for them. They were forced out of Dol Blathanna."
Jaskier,"Forced out? No, they chose-"
Filavandrel,"Do you know anyone that would choose to leave their home? To Starve? To have a Sylvan steal for them?"
Torque,"Toruviel, no one was supposed to get hurt."
Toruviel,"What’s two humans in the ground when countless elves have died?"
Geralt,"One human. And you can let him go."
Filavandrel,"Then Posada will learn that we’ve been stealing. The humans will attack. Many will die… on both sides."
Geralt,"The lesser evil. No matter what you choose, you’ll come out bloody and hating yourself. Trust me."
Filavandrel,"That’s the problem. I can’t. This is necessary."
Geralt,"I understand. As long as you understand… that it won’t be long before you follow me in death."
Filavandrel,"Yes, because they pushed us from viable soil. Even chaos is polluted. Synthetically enhanced so humans can make magic."
Geralt,"Chaos is the same as it’s always been. Humans just adapted better."
Filavandrel,"You say adapt, and I say destroy."
Geralt,"You are choosing to starve. You’re cutting off your ear to spite your face."
Filavandrel,"You think this is about pride? My elders worked with humans and got robbed of all they had. And when they fought back. They were slaughtered. “The Great Cleansing”, humans call it. I called it digging a mass grave for everyone I loved. And now the humans proudly watch these very fields grow… our babies fertilizer for their grain. I don’t wish to bury anyone else. I was once Filavandrel of the Silver Towers. Now I’m Filavandrel of the Edge of the World. If I bring my people down from these mountains, it would mean bowing to human sovereignty. They’ll make slaves of us. Pariahs of half-blood children."
Geralt,"Then go somewhere else. Rebuild. Get strong again. Show the humans that you are more than what they fear you to be."
Filavandrel,"Like you, Witcher?"
Geralt,"I have learned to live with them. So that I may live."
Toruviel,"Please, my King. There are others. A new generation. Evellien who wish to fight! Let us take back what’s ours. Starting now."
Torque,"Wait!"
Filavandrel,"Torque, stand aside!"
Torque,"The witcher could’ve killed me. But he didn’t. He’s different. Like us."
Geralt,"If you must kill me… I am ready. But the Sylvan’s right. Don’t call me human."
Yennefer,"She knows about us. I’m gonna be sent home. We’ll never see each other again."
Istredd,"What do you mean, we’ll never see each other again? No, no. This- This is not the last time. We- We’ll find a way."
Yennefer,"How? W-With one of those extra-special portals?"
Istredd,"Oh, look, you know- I wish I could show you, but I- I can’t risk the knowledge reaching the Brotherhood of Sorcerers."
Yennefer,"Why?"
Istredd,"It’s not the method of magic we’re taught. It’s older. It’s more potent. It could open doors that can’t be closed again."
Yennefer,"I don’t understand. My worst fear is true. I’m still not enough. Even for you."
Istredd,"Come. I want to show you. Come. Do you know whose skulls these are?"
Yennefer,"Dead people?"
Istredd,"Dead elves. These elves built Aretuza."
Yennefer,"You mean as slaves?"
Istredd,"No, no. This was before humans. Elves are the original sorcerers of the continent."
Yennefer,"What?"
Istredd,"See, when humans and monsters all arrived after the Conjunction of the Spheres… elven mages taught the first humans how to turn chaos into magic. And then… the humans slaughtered them… so they could pretend the power had always belonged to them. Rewriting history with the stories we tell… the songs we sing about our own triumphs, it’s what we do. But I want to honor them. Feainnewedd only grows where elder blood has spilled. Open your mouth. Open the door"
Yennefer,"Open the door"
Istredd,"How did- How did you do that on your first try?"
Yennefer,"I should go."
Istredd,"W-W-Wait- Wait. Wait. Wait. Wait."
Yennefer,"My father… My real father… he was half-elf. Do you remember the Great Cleansing?"
Istredd,"Thousands of elven lives lost."
Yennefer,"That’s how my father died. His blood is… why I’m cursed with a twisted spine. Why I’m only worth four marks. Why no one could ever love me."
Istredd,"So far, so good."
Yennefer,"What will you do with it?"
Tissaia,"Nothing. Simply wanted to know that you could control your emotions and get it from the boy. That you would. You may go… Yennefer."
Yennefer,"Does this mean I get to ascend? I’m ready."
Tissaia,"Listen for the knock."
Stregobor,"You’ve been working on her for months. You must be able to give me something. Make Ban Ard proud."
Istredd,"Sh-She’s part elf."
man,"Lilja! Quick. Nilfgaard. They’re here! They’re here!"
Ciri,"What’s happening?"
Lilja,"Go get the horse. Find Adon and Zeje. And take this. You stupid little shit! Pick it up and go! Go! Help!"
Ciri,"It’s you. Wait."
Tissaia,"Anica. Doralis."
Tissaia,"From the chaos granted onto you, peace I now give you, as you give us power in return. Come forth, Yennefer."
Yennefer,"You turned my friend into a slug."
Tissaia,"An eel. Come. Push your friend into the pool."
Yennefer,"No."
Tissaia,"Yes. I took away her control, but she still has power."
Yennefer,"She’s a conduit. For Aretuza."
Tissaia,"Sometimes the best thing a flower can do for us is die."
Jaskier,"Credit where credit is due. That whole reverse-psychology thing you did on them was brilliant, by the way. Kill me. I’m ready. That’s the conclusion. They just let us go, and you give all of Nettly’s coin to the elves."
Geralt,"Filavandrel’s lute not gift enough for you?"
Jaskier,"Yeah, she is a bit sexy, isn’t she? I do have respect for Filavandrel. He survived the Great Cleansing once. Who knows? Maybe he can do it again. Be reborn. Will the elf king heed / What the witcher entreats? / Is history a wheel / Doomed to repeat? No, that’s… that’s shit."
Geralt,"This is where we part ways, bard, for good."
Jaskier,"Look, I promised to change the public’s tune about you. At least allow me to try. When a humble bard / Graced a ride along / With Geralt of Rivia / Along came this song / From when the White Wolf fought / a silver tongued devil / His army of elves / At his hooves did they travel / They came after me / With masterful deceit / Broke down my lute / And they kicked in my teeth / While the devil’s horns / Minced our tender meat / And so cried the witcher / “He can’t be bleat”-"
Ciri,"You’re an elf. Thank you."
Dara,"I’m Dara."
Ciri,"I’m Ciri."
Geralt,"That’s not how it happened. Where’s your newfound respect?"
Jaskier,"Respect doesn’t make history. Toss a coin to your witcher / O Valley of Plenty / O Valley of Plenty, oh-oh-oh / Toss a coin to your witcher / O Valley of Plenty / At the edge of the world"
Geralt,"Hmm."
Jaskier,"Fight the mighty horn / That bashes and breaks you / And brings you to mourn / he thrust every elf / Far back on the shelf / High up on the mountain / From whence it came / He wiped out your pest / Got kicked in his chest / He’s a friend of humanity / So give him the rest / That’s my epic tale / Our champion prevailed / Defeated the villain / Now pour him some ale / Toss a coin to your witcher / O Valley of Plenty / O Valley of Plenty, oh-oh-oh / Toss a coin to your witcher / A friend of humanity / Toss a coin to your witcher / O Valley of Plenty / O Valley of Plenty, oh-oh-oh / Toss a coin to your witcher / A friend of humanity / Toss a coin to your witcher / O Valley of Plenty / O Valley of Plenty, oh-oh-oh / Toss a coin to your witcher / A friend of humanity"
